date,nama_kabupaten_kota,produksi_padi
2019-01-01,KABUPATEN INDRAMAYU,6605
2019-01-01,KABUPATEN KARAWANG,31774
2019-01-01,KABUPATEN PURWAKARTA,2535
2019-01-01,KOTA CIMAHI,66
2019-01-01,KABUPATEN SUBANG,12208
2019-01-01,KOTA BOGOR,0
2019-01-01,KABUPATEN BEKASI,26176
2019-01-01,KABUPATEN CIANJUR,39507
2019-01-01,KOTA TASIKMALAYA,1183
2019-01-01,KOTA BANJAR,0
2019-01-01,KABUPATEN SUKABUMI,13370
2019-01-01,KABUPATEN BOGOR,11762
2019-02-01,KABUPATEN KUNINGAN,8133
2019-02-01,KOTA BOGOR,0
2019-02-01,KABUPATEN BEKASI,14298
2019-02-01,KABUPATEN GARUT,25263
2019-02-01,KOTA SUKABUMI,1507
2019-02-01,KOTA BEKASI,5
2019-02-01,KABUPATEN KARAWANG,9179
2019-02-01,KABUPATEN CIAMIS,5361
2019-02-01,KOTA CIREBON,0
2019-02-01,KABUPATEN SUKABUMI,43833
2019-02-01,KABUPATEN TASIKMALAYA,38051
2019-02-01,KOTA BANDUNG,627
2019-02-01,KABUPATEN BANDUNG BARAT,11151
2019-02-01,KABUPATEN BOGOR,16734
2019-02-01,KOTA DEPOK,16
2019-02-01,KABUPATEN PURWAKARTA,1696
2019-02-01,KABUPATEN SUBANG,28105
2019-02-01,KABUPATEN CIANJUR,48315
2019-02-01,KABUPATEN MAJALENGKA,7906
2019-02-01,KABUPATEN PANGANDARAN,2247
2019-02-01,KOTA CIMAHI,33
2019-02-01,KOTA TASIKMALAYA,646
2019-02-01,KOTA BANJAR,553
2019-02-01,KABUPATEN INDRAMAYU,10688
2019-02-01,KABUPATEN BANDUNG,26625
2019-02-01,KABUPATEN SUMEDANG,18852
2019-02-01,KABUPATEN CIREBON,4524
2019-03-01,KOTA SUKABUMI,2155
2019-03-01,KABUPATEN KARAWANG,52010
2019-03-01,KABUPATEN CIREBON,39827
2019-03-01,KOTA BANJAR,2023
2019-03-01,KABUPATEN CIAMIS,34512
2019-03-01,KABUPATEN PANGANDARAN,58310
2019-03-01,KABUPATEN KUNINGAN,31962
2019-03-01,KABUPATEN BEKASI,53293
2019-03-01,KOTA BOGOR,50
2019-03-01,KABUPATEN MAJALENGKA,184938
2019-03-01,KOTA BANDUNG,596
2019-03-01,KABUPATEN BOGOR,53452
2019-03-01,KABUPATEN SUMEDANG,54394
2019-03-01,KABUPATEN BANDUNG BARAT,36259
2019-03-01,KABUPATEN INDRAMAYU,228210
2019-03-01,KOTA DEPOK,75
2019-03-01,KABUPATEN BANDUNG,25176
2019-03-01,KOTA TASIKMALAYA,4300
2019-03-01,KOTA BEKASI,132
2019-03-01,KABUPATEN GARUT,80092
2019-03-01,KABUPATEN SUKABUMI,117916
2019-03-01,KABUPATEN SUBANG,84728
2019-03-01,KOTA CIMAHI,17
